algorithm,data_type,array_size,avg_time_us,avg_char_comparisons
standard_mergesort,random,2300,980.70,32199.00
ternary_string_quicksort,random,2300,159.80,41683.00
lcp_mergesort,random,2300,1298.80,20563.00
msd_radix_sort,random,2300,731.70,5411.00
msd_radix_sort_with_quicksort,random,2300,255.80,20373.00
standard_quicksort,random,2400,453.50,371795.00
standard_mergesort,random,2400,1038.10,33892.00
ternary_string_quicksort,random,2400,177.90,44442.00
lcp_mergesort,random,2400,1347.00,21604.00
msd_radix_sort,random,2400,759.80,5667.00
msd_radix_sort_with_quicksort,random,2400,277.50,21624.00
standard_quicksort,random,2500,481.30,393522.00
standard_mergesort,random,2500,1094.00,35632.00
ternary_string_quicksort,random,2500,193.70,51415.00
lcp_mergesort,random,2500,1408.30,22663.00
msd_radix_sort,random,2500,818.60,5920.00
msd_radix_sort_with_quicksort,random,2500,287.50,22824.00
standard_quicksort,random,2600,538.50,399361.00
standard_mergesort,random,2600,1146.60,37354.00
ternary_string_quicksort,random,2600,198.00,48594.00
lcp_mergesort,random,2600,1457.60,23652.00
msd_radix_sort,random,2600,843.20,6182.00
msd_radix_sort_with_quicksort,random,2600,303.10,24150.00
standard_quicksort,random,2700,517.30,423394.00
standard_mergesort,random,2700,1177.40,39070.00
ternary_string_quicksort,random,2700,209.10,52605.00
lcp_mergesort,random,2700,1531.90,24641.00
msd_radix_sort,random,2700,880.30,6451.00
msd_radix_sort_with_quicksort,random,2700,305.20,24743.00
standard_quicksort,random,2800,541.70,442342.00
standard_mergesort,random,2800,1226.00,40903.00
ternary_string_quicksort,random,2800,219.30,51706.00
lcp_mergesort,random,2800,1610.90,25771.00
msd_radix_sort,random,2800,937.60,6729.00
msd_radix_sort_with_quicksort,random,2800,323.30,26602.00
standard_quicksort,random,2900,568.10,457728.00
standard_mergesort,random,2900,1287.90,42598.00
ternary_string_quicksort,random,2900,242.00,56455.00
lcp_mergesort,random,2900,1657.10,26789.00
msd_radix_sort,random,2900,973.10,6989.00
msd_radix_sort_with_quicksort,random,2900,346.40,27872.00
standard_quicksort,random,3000,578.80,470721.00
standard_mergesort,random,3000,1422.80,44411.00
ternary_string_quicksort,random,3000,261.90,60683.00
lcp_mergesort,random,3000,1703.00,27866.00
msd_radix_sort,random,3000,1033.80,7259.00
msd_radix_sort_with_quicksort,random,3000,350.30,29533.00
standard_quicksort,reverse_sorted,100,10.90,14359.00
standard_mergesort,reverse_sorted,100,17.30,686.00
ternary_string_quicksort,reverse_sorted,100,2.70,952.00
lcp_mergesort,reverse_sorted,100,25.00,382.00
msd_radix_sort,reverse_sorted,100,28.60,241.00
msd_radix_sort_with_quicksort,reverse_sorted,100,7.80,742.00
standard_quicksort,reverse_sorted,200,22.70,28548.00
standard_mergesort,reverse_sorted,200,42.90,1481.00
ternary_string_quicksort,reverse_sorted,200,4.70,2312.00
lcp_mergesort,reverse_sorted,200,62.20,765.00
msd_radix_sort,reverse_sorted,200,62.40,488.00
msd_radix_sort_with_quicksort,reverse_sorted,200,15.70,1567.00
standard_quicksort,reverse_sorted,300,34.80,39655.00
standard_mergesort,reverse_sorted,300,70.00,2325.00
ternary_string_quicksort,reverse_sorted,300,8.60,3782.00
lcp_mergesort,reverse_sorted,300,100.40,1175.00
msd_radix_sort,reverse_sorted,300,97.90,736.00
msd_radix_sort_with_quicksort,reverse_sorted,300,23.30,2333.00
standard_quicksort,reverse_sorted,400,44.90,57538.00
standard_mergesort,reverse_sorted,400,97.20,3145.00
ternary_string_quicksort,reverse_sorted,400,9.90,4658.00
lcp_mergesort,reverse_sorted,400,138.60,1542.00
msd_radix_sort,reverse_sorted,400,128.70,970.00
msd_radix_sort_with_quicksort,reverse_sorted,400,33.30,3137.00
standard_quicksort,reverse_sorted,500,46.20,58794.00
standard_mergesort,reverse_sorted,500,130.60,3869.00
ternary_string_quicksort,reverse_sorted,500,13.00,6089.00
lcp_mergesort,reverse_sorted,500,174.90,1895.00
msd_radix_sort,reverse_sorted,500,166.40,1229.00
msd_radix_sort_with_quicksort,reverse_sorted,500,44.20,4001.00
standard_quicksort,reverse_sorted,600,60.80,78650.00
standard_mergesort,reverse_sorted,600,164.60,4965.00
ternary_string_quicksort,reverse_sorted,600,15.90,7370.00
lcp_mergesort,reverse_sorted,600,227.00,2387.00
msd_radix_sort,reverse_sorted,600,198.90,1471.00
msd_radix_sort_with_quicksort,reverse_sorted,600,52.20,4783.00
standard_quicksort,reverse_sorted,700,83.10,101847.00
standard_mergesort,reverse_sorted,700,198.10,5864.00
ternary_string_quicksort,reverse_sorted,700,20.50,8917.00
lcp_mergesort,reverse_sorted,700,269.10,2734.00
msd_radix_sort,reverse_sorted,700,242.00,1718.00
msd_radix_sort_with_quicksort,reverse_sorted,700,61.10,5556.00
standard_quicksort,reverse_sorted,800,91.40,116560.00
standard_mergesort,reverse_sorted,800,233.50,6697.00
ternary_string_quicksort,reverse_sorted,800,26.90,10352.00
lcp_mergesort,reverse_sorted,800,315.50,3121.00
msd_radix_sort,reverse_sorted,800,264.50,1947.00
msd_radix_sort_with_quicksort,reverse_sorted,800,67.20,6313.00
standard_quicksort,reverse_sorted,900,98.40,116960.00
standard_mergesort,reverse_sorted,900,280.80,7508.00
ternary_string_quicksort,reverse_sorted,900,25.40,11982.00
lcp_mergesort,reverse_sorted,900,360.70,3478.00
msd_radix_sort,reverse_sorted,900,298.10,2195.00
msd_radix_sort_with_quicksort,reverse_sorted,900,81.30,7126.00
standard_quicksort,reverse_sorted,1000,99.20,117220.00
standard_mergesort,reverse_sorted,1000,297.10,8170.00
ternary_string_quicksort,reverse_sorted,1000,31.20,13951.00
lcp_mergesort,reverse_sorted,1000,400.10,3769.00
msd_radix_sort,reverse_sorted,1000,336.30,2437.00
msd_radix_sort_with_quicksort,reverse_sorted,1000,86.80,7894.00
standard_quicksort,reverse_sorted,1100,112.30,136636.00
standard_mergesort,reverse_sorted,1100,342.40,9332.00
ternary_string_quicksort,reverse_sorted,1100,34.50,14823.00
lcp_mergesort,reverse_sorted,1100,486.40,4254.00
msd_radix_sort,reverse_sorted,1100,379.70,2680.00
msd_radix_sort_with_quicksort,reverse_sorted,1100,97.00,8669.00
standard_quicksort,reverse_sorted,1200,127.70,158395.00
standard_mergesort,reverse_sorted,1200,383.20,10438.00
ternary_string_quicksort,reverse_sorted,1200,39.70,16489.00
lcp_mergesort,reverse_sorted,1200,526.60,4724.00
msd_radix_sort,reverse_sorted,1200,402.20,2931.00
msd_radix_sort_with_quicksort,reverse_sorted,1200,101.30,9445.00
standard_quicksort,reverse_sorted,1300,143.30,180488.00
standard_mergesort,reverse_sorted,1300,414.20,11459.00
ternary_string_quicksort,reverse_sorted,1300,41.80,17995.00
lcp_mergesort,reverse_sorted,1300,580.00,5164.00
msd_radix_sort,reverse_sorted,1300,428.50,3174.00
msd_radix_sort_with_quicksort,reverse_sorted,1300,114.80,10186.00
standard_quicksort,reverse_sorted,1400,165.70,205827.00
standard_mergesort,reverse_sorted,1400,443.10,12385.00
ternary_string_quicksort,reverse_sorted,1400,44.60,19511.00
lcp_mergesort,reverse_sorted,1400,630.40,5497.00
msd_radix_sort,reverse_sorted,1400,459.60,3410.00
msd_radix_sort_with_quicksort,reverse_sorted,1400,122.00,10946.00
standard_quicksort,reverse_sorted,1500,179.90,229499.00
standard_mergesort,reverse_sorted,1500,477.60,13346.00
ternary_string_quicksort,reverse_sorted,1500,48.30,21037.00
lcp_mergesort,reverse_sorted,1500,681.70,5947.00
msd_radix_sort,reverse_sorted,1500,488.70,3643.00
msd_radix_sort_with_quicksort,reverse_sorted,1500,130.10,11682.00
standard_quicksort,reverse_sorted,1600,186.40,231752.00
standard_mergesort,reverse_sorted,1600,515.10,14235.00
ternary_string_quicksort,reverse_sorted,1600,52.60,22777.00
lcp_mergesort,reverse_sorted,1600,751.50,6328.00
msd_radix_sort,reverse_sorted,1600,529.90,3884.00
msd_radix_sort_with_quicksort,reverse_sorted,1600,141.70,12448.00
standard_quicksort,reverse_sorted,1700,190.20,235032.00
standard_mergesort,reverse_sorted,1700,547.70,15213.00
ternary_string_quicksort,reverse_sorted,1700,54.50,24390.00
lcp_mergesort,reverse_sorted,1700,805.10,6701.00
msd_radix_sort,reverse_sorted,1700,561.00,4123.00
msd_radix_sort_with_quicksort,reverse_sorted,1700,149.10,13229.00
standard_quicksort,reverse_sorted,1800,194.50,237405.00
standard_mergesort,reverse_sorted,1800,593.80,15821.00
ternary_string_quicksort,reverse_sorted,1800,60.50,26059.00
lcp_mergesort,reverse_sorted,1800,852.80,6936.00
msd_radix_sort,reverse_sorted,1800,600.70,4362.00
msd_radix_sort_with_quicksort,reverse_sorted,1800,161.40,13978.00
