algorithm,data_type,array_size,run_id,time_us,char_comparisons
standard_quicksort,random,1700,4,311,262116
standard_quicksort,random,1700,5,289,262116
standard_quicksort,random,1700,6,293,262116
standard_quicksort,random,1700,7,318,262116
standard_quicksort,random,1700,8,326,262116
standard_quicksort,random,1700,9,292,262116
standard_quicksort,random,1700,10,295,262116
standard_quicksort,random,1800,1,347,286413
standard_quicksort,random,1800,2,350,286413
standard_quicksort,random,1800,3,381,286413
standard_quicksort,random,1800,4,351,286413
standard_quicksort,random,1800,5,321,286413
standard_quicksort,random,1800,6,331,286413
standard_quicksort,random,1800,7,318,286413
standard_quicksort,random,1800,8,309,286413
standard_quicksort,random,1800,9,318,286413
standard_quicksort,random,1800,10,322,286413
standard_quicksort,random,1900,1,373,295119
standard_quicksort,random,1900,2,416,295119
standard_quicksort,random,1900,3,373,295119
standard_quicksort,random,1900,4,341,295119
standard_quicksort,random,1900,5,353,295119
standard_quicksort,random,1900,6,341,295119
standard_quicksort,random,1900,7,332,295119
standard_quicksort,random,1900,8,375,295119
standard_quicksort,random,1900,9,349,295119
standard_quicksort,random,1900,10,356,295119
standard_quicksort,random,2000,1,378,309709
standard_quicksort,random,2000,2,366,309709
standard_quicksort,random,2000,3,368,309709
standard_quicksort,random,2000,4,378,309709
standard_quicksort,random,2000,5,349,309709
standard_quicksort,random,2000,6,364,309709
standard_quicksort,random,2000,7,357,309709
standard_quicksort,random,2000,8,370,309709
standard_quicksort,random,2000,9,356,309709
standard_quicksort,random,2000,10,452,309709
standard_quicksort,random,2100,1,801,321887
standard_quicksort,random,2100,2,410,321887
standard_quicksort,random,2100,3,616,321887
standard_quicksort,random,2100,4,408,321887
standard_quicksort,random,2100,5,389,321887
standard_quicksort,random,2100,6,381,321887
standard_quicksort,random,2100,7,377,321887
standard_quicksort,random,2100,8,370,321887
standard_quicksort,random,2100,9,364,321887
standard_quicksort,random,2100,10,371,321887
standard_quicksort,random,2200,1,415,340124
standard_quicksort,random,2200,2,417,340124
standard_quicksort,random,2200,3,392,340124
standard_quicksort,random,2200,4,404,340124
standard_quicksort,random,2200,5,388,340124
standard_quicksort,random,2200,6,403,340124
standard_quicksort,random,2200,7,385,340124
standard_quicksort,random,2200,8,391,340124
standard_quicksort,random,2200,9,392,340124
standard_quicksort,random,2200,10,398,340124
standard_quicksort,random,2300,1,439,358524
standard_quicksort,random,2300,2,442,358524
standard_quicksort,random,2300,3,436,358524
standard_quicksort,random,2300,4,440,358524
standard_quicksort,random,2300,5,420,358524
standard_quicksort,random,2300,6,415,358524
standard_quicksort,random,2300,7,414,358524
standard_quicksort,random,2300,8,407,358524
standard_quicksort,random,2300,9,414,358524
standard_quicksort,random,2300,10,470,358524
standard_quicksort,random,2400,1,676,371795
standard_quicksort,random,2400,2,451,371795
standard_quicksort,random,2400,3,447,371795
standard_quicksort,random,2400,4,444,371795
standard_quicksort,random,2400,5,432,371795
standard_quicksort,random,2400,6,432,371795
standard_quicksort,random,2400,7,433,371795
standard_quicksort,random,2400,8,429,371795
standard_quicksort,random,2400,9,455,371795
standard_quicksort,random,2400,10,430,371795
standard_quicksort,random,2500,1,492,393522
standard_quicksort,random,2500,2,466,393522
standard_quicksort,random,2500,3,460,393522
